Idioma,Texto,Texto No.  
EN - Inglês,AFM %1 nÃ£o encontrada.,MED00232
EN - Inglês,Informe nÃºmero da AFM.,MED00231
EN - Inglês,Saldo a Receber desta AFM (%1):,MED00230
EN - Inglês,Quant. a Receber,MED00229
EN - Inglês,Recebimento Processado,MED00228
EN - Inglês,Recebimento Estornado,MED00227
EN - Inglês,Quant. Recebida,MED00226
EN - Inglês,Data Receb.,MED00225
EN - Inglês,PrÃ©-Recebido,MED00224
EN - Inglês,PrÃ©-Recebimentos realizados desta AFM (%1) que ainda nÃ£o foram processados:,MED00223
EN - Inglês,Status,MED00222
EN - Inglês,Quant. PrÃ©-Recebida,MED00221
EN - Inglês,DescriÃ§Ã£o,MED00220
EN - Inglês,CÃ³digo,MED00219
EN - Inglês,Data PrÃ©-Receb.,MED00218
EN - Inglês,Data de Chegada,MED00217
EN - Inglês,NÂº Recebimento,MED00216
EN - Inglês,O item '%1' nÃ£o existe.,MED00215
EN - Inglês,O relatÃ³rio sÃ³ fica disponÃ­vel apÃ³s a AFM ter sido processada.,MED00214
EN - Inglês,A PAM de numero %1 nÃ£o possui nÃºmero de processo relacionado. NÃ£o Ã© possÃ­vel processar.,MED00213
EN - Inglês,PreÃ§o unitÃ¡rio Ã© obrigatÃ³rio para todos os produtos. NÃ£o Ã© possÃ­vel processar.,MED00212
EN - Inglês,A AFM tem que ter pelo menos 1 item.,MED00211
EN - Inglês,A AFM %1 jÃ¡ foi processada.,MED00210
EN - Inglês,A AFM nao foi salva,MED00209
EN - Inglês,NÃ£o foi possÃ­vel processar a AFM. Erro ao processar.,MED00208
EN - Inglês,SituaÃ§Ã£o das entregas para cada linha da AFM:,MED00207
EN - Inglês,Erro na validaÃ§Ã£o das entregas.,MED00206
EN - Inglês,NÃ£o foi possÃ­vel salvar os dados do preÃ§o de compra da AFM.,MED00205
EN - Inglês,OpÃ§Ã£o nÃ£o disponÃ­vel para o local (%1).,MED00204
EN - Inglês,A AFM %1 jÃ¡ foi processada.,MED00203
EN - Inglês,Natureza do Fornecimento nÃ£o pode ser alterado. Existe PAM para este produto.,MED00202
EN - Inglês,Natureza do Fornecimento nÃ£o pode ser alterado. Este produto existe em estoque.,MED00201
EN - Inglês,A SaÃ­da precisar ter sido processada para visualizar o relatÃ³rio.,MED00200
EN - Inglês,Um ou mais produtos nÃ£o tÃªm estoque suficiente para a quantidade a ser consumida. Favor corrigir.,MED00199
EN - Inglês,Esse recebimento ainda nÃ£o foi processado e nÃ£o pode ser utilizado.,MED00198
EN - Inglês,Esse recebimento nÃ£o existe,MED00197
EN - Inglês,ou a confirmaÃ§Ã£o de recebimento pelo Pagamento.,MED00196
EN - Inglês,O relatÃ³rio sÃ³ fica disponÃ­vel apÃ³s o envio da Guia para o Pagamento ,MED00195
EN - Inglês,NÃ£o Ã© possÃ­vel enviar porque existem recebimentos repetidos nessa guia. ,MED00194
EN - Inglês,Nenhum recebimento foi inserido na guia.,MED00193
EN - Inglês,O recebimento dessa guia jÃ¡ foi confirmado.,MED00192
EN - Inglês,Essa guia ainda nÃ£o foi enviada.,MED00191
EN - Inglês,NÃ£o foi possÃ­vel salvar os dados.,MED00190
EN - Inglês,Nenhum recebimento foi inserido na guia.,MED00189
EN - Inglês,Essa guia jÃ¡ foi enviada.,MED00188
EN - Inglês,Este documento foi criado em outro local.,MED00187
EN - Inglês,Esta guia jÃ¡ foi confirmada,MED00186
EN - Inglês,time undefined,MED00185
EN - Inglês,finalDate is undefined,MED00184
EN - Inglês,initialDate is undefined,MED00183
EN - Inglês,locationCode is undefined,MED00182
EN - Inglês,itemCode is undefined,MED00181
EN - Inglês,Creates and manages values of stock at specific dates,MED00180
EN - Inglês,Total,MED00179
EN - Inglês,Quant. p/ Aceite (Em TrÃ¢nsito),MED00178
EN - Inglês,Item da TR,MED00177
EN - Inglês,Data da TR,MED00176
EN - Inglês,NÂº TransferÃªncia,MED00175
EN - Inglês,NÂº SolicitaÃ§Ã£o,MED00174
EN - Inglês,apÃ³s o recebimento da NE pelo fornecedor. Os dias sÃ£o contados corridos.,MED00173
EN - Inglês,Seu Local nÃ£o permite esta visualizaÃ§Ã£o.,MED00172
EN - Inglês,NÃ£o foi possÃ­vel salvar o prÃ©-recebimento.,MED00171
EN - Inglês,A recebimento tem que ter pelo menos 1 item.,MED00170
EN - Inglês,Esse recebimento jÃ¡ foi prÃ©-recebido.,MED00169
EN - Inglês,Fornecedor da produÃ§Ã£o vazio.,MED00168
EN - Inglês,A entrada tem que ter pelo menos 1 item.,MED00167
EN - Inglês,"Caso tenha dÃºvidas, entre em contato com o suporte.",MED00166
EN - Inglês,O usuÃ¡rio nÃ£o tem permissÃ£o para processar o recebimento.,MED00165
EN - Inglês,Este recebimento ainda nÃ£o foi prÃ©-recebido.,MED00164
EN - Inglês,Esse recebimento jÃ¡ foi processado.,MED00163
EN - Inglês,Esta entrada Ã© do local %1! Seu local Ã© %2. A tela ficarÃ¡ disponÃ­vel apenas para consulta de documentos.,MED00162
EN - Inglês,Attention! This screen is to be used only by the Central Warehouse.,MED00161
EN - Inglês,The receipt must have been processed or be included in a pre-receipt.,MED00160
EN - Inglês,Invalid stock Item!,MED00159
EN - Inglês,Locations to be checked:,MED00158
EN - Inglês,Checking stock consistency,MED00157
EN - Inglês,Cost center %1 does not have any supplying location type %2. Product type %3. The search will not retrieve any results.
,MED00156
EN - Inglês,Network Total,MED00155
EN - Inglês,Total in the Checked Locations,MED00154
EN - Inglês,Awaiting Transfer Receipt (In transit),MED00153
EN - Inglês,Stock on Hand in this Location,MED00152
EN - Inglês,Total Stock for this Location,MED00151
EN - Inglês,Location,MED00150
EN - Inglês,Error in query!,MED00149
EN - Inglês,Please correct the quantity. It may not be greater than the quantity available in the physical stock (location).,MED00148
EN - Inglês,Please correct the quantity. It may not be zero.,MED00147
EN - Inglês,Please correct the quantity. It may not be a negative figure.,MED00146
EN - Inglês,Product %1 does not exist for this location!,MED00145
EN - Inglês,Not found in the system.,MED00144
EN - Inglês,Error in the stock adjustment.,MED00143
EN - Inglês,This document belongs to location %1! Its location is %2. The screen will be available only for viewing documents.,MED00142
EN - Inglês,This screen may be used by users of PHARMACY locations - type:,MED00141
EN - Inglês,"More than 100 patients returned. Please, refine your search.",MED00140
EN - Inglês,More than 100 professionals returned. Refine your search.,MED00139
EN - Inglês,The report will only be available after the document has been processed.,MED00138
EN - Inglês,Error!! Empty quantity - Purchase requisition=%1 Line=%2 Purchase Order=%3 Line=%4,MED00137
EN - Inglês,Error when trying to remove the associations between Purchase Requisition and Purchase Order.,MED00136
EN - Inglês,Error when trying to save the lines in the Purchase Order.,MED00135
EN - Inglês,There was an error when trying to include items in the Purchase Order ->,MED00134
EN - Inglês,The quantity may not be greater than the quantity on hand!,MED00133
EN - Inglês,Error when trying to save Transportation to Location %1. Error message:,MED00132
EN - Inglês,Transportation,MED00131
EN - Inglês,Error when saving ABASTCC for Location %1. Error message:,MED00130
EN - Inglês,Error when saving INLP for Location %1. Error message:,MED00129
EN - Inglês,Error when saving location %1. Error message:,MED00128
EN - Inglês,This Supplying Location has not been registered.,MED00127
EN - Inglês,"Wrong format! Please, type up to %1 numbers!",MED00126
EN - Inglês,"Wrong format! Please, type 12 numbers!",MED00125
EN - Inglês,New,MED00124
EN - Inglês,Price,MED00123
EN - Inglês,Stock,MED00122
EN - Inglês,Time,MED00121
EN - Inglês,Consumed quantity (network),MED00120
EN - Inglês,Month,MED00119
EN - Inglês,Year,MED00118
EN - Inglês,The Item %1 has a stock total of %2 in its Supplying Location %3 %4!,MED00117
EN - Inglês,Error when trying to check the stock.,MED00116
EN - Inglês,Enter the item and date!,MED00115
EN - Inglês,Average Cost:,MED00114
EN - Inglês,Main Stock:,MED00113
EN - Inglês,Item Group:,MED00112
EN - Inglês,Stock Unit:,MED00111
EN - Inglês,Product: ,MED00110
EN - Inglês,General Total Consumed,MED00109
EN - Inglês,Total Consumed,MED00108
EN - Inglês,Patient,MED00107
EN - Inglês,Sector,MED00106
EN - Inglês,Consumed,MED00105
EN - Inglês,Document Number,MED00104
EN - Inglês,Type,MED00103
EN - Inglês,No line selected,MED00102
EN - Inglês,Lines that were not saved due to an error: ,MED00101
EN - Inglês,The lines were successfully saved:,MED00100
EN - Inglês,Saving the line,MED00099
EN - Inglês,Saving identified items/locations...,MED00098
EN - Inglês,Checking non-authorized items that have been moved...,MED00097
EN - Inglês,Checking the items with authorization...,MED00096
EN - Inglês,Creating the alert lines.,MED00095
EN - Inglês,Lines not deleted due to an error:,MED00094
EN - Inglês,Lines succesfully deleted:,MED00093
EN - Inglês,Error,MED00092
EN - Inglês,Deleting the line,MED00091
EN - Inglês,Deleting the identified items/locations...,MED00090
EN - Inglês,Checking the deactivated Alert items.,MED00089
EN - Inglês,Deleting the alert lines.,MED00088
EN - Inglês,No,MED00087
EN - Inglês,Yes,MED00086
EN - Inglês,Unable to save,MED00085
EN - Inglês,Transfer Request Number not found!,MED00084
EN - Inglês,There was an error when creating the Purchase Requisition.,MED00083
EN - Inglês,"To actually process the receipt, press the PROCESS button.",MED00082
EN - Inglês,Check the Scheduled Deliveries status for Purchase Order %1 before processing the receipt.,MED00081
EN - Inglês,It was not possible to obtain the Purchase Order number for the receipt %1.,MED00080
EN - Inglês,It was not possible to obtain the receipt %1 record.,MED00079
EN - Inglês,It was not possible to obtain the receipt number.,MED00078
EN - Inglês,Error:,MED00077
EN - Inglês,The item '%1' does not belong to the Purchase Order.,MED00076
EN - Inglês,Choose an item.,MED00075
EN - Inglês,This will alter the percentage to,MED00074
EN - Inglês,This quantity will be rounded up to,MED00073
EN - Inglês,This percentage corresponds to a quantity of,MED00072
EN - Inglês,You have entered a percentage of,MED00071
EN - Inglês,The percentage - %1%  - would cause the amount to exceed. Type in a smaller percentage.,MED00070
EN - Inglês,The percentage must be greater than zero and less than 100.,MED00069
EN - Inglês,"First, select the product.",MED00068
EN - Inglês,It is not possible to set the delivery for item %1. The Purchase Order quantity (%2) will be exceeded by the delivery quantity (%3).,MED00067
EN - Inglês,It was not possible to determine the line number of the current Purchase Order.,MED00066
EN - Inglês,The quantity must be greater than zero.,MED00065
EN - Inglês,This product has already been included in this delivery. See Sequence line: %1.,MED00064
EN - Inglês,There was an error when deleting delivery '%1'.
,MED00063
EN - Inglês,Message:

,MED00062
EN - Inglês,"There was an error when deleting delivery '%1', which does not contain lines.",MED00061
EN - Inglês,There was an error when deleting delivery '%1'. Message:,MED00060
EN - Inglês,Deliveries by Purchase Order line:,MED00059
EN - Inglês,"This Purchase Order's Type is "3 - Stock - Health Ministry". Then, the scheduled deliveries are not mandatory.",MED00058
EN - Inglês,"This Purchase Order's Type is "6 - Specific Use". Then, scheduled deliveries are not mandatory.",MED00057
EN - Inglês,"This Purchase Order's Type is "2 - Stock - Donation". Then, scheduled deliveries are not mandatory for this Purchase Order.",MED00056
EN - Inglês,There was an error when reading Purchase Order '%1'.,MED00055
EN - Inglês,Valid deliveries.,MED00054
EN - Inglês,Invalid deliveries for the following Purchase Order lines:,MED00053
EN - Inglês,Delivery status:,MED00052
EN - Inglês,Delivery analysis for each item for this receipt:,MED00051
EN - Inglês,Delivery Number:,MED00050
EN - Inglês,Undefined Date,MED00049
EN - Inglês,Deliveries scheduled for Purchase Order %1:,MED00048
EN - Inglês,There are no programed deliveries with the same date as the receipt date (%1).,MED00047
EN - Inglês,The scheduled delivery %1 has the same delivery date as the receipt date (%2).,MED00046
EN - Inglês,Undefined date,MED00045
EN - Inglês,days,MED00044
EN - Inglês,Delivery,MED00043
EN - Inglês,in the Purchase Order,MED00042
EN - Inglês,Received,MED00041
EN - Inglês,Code/Description,MED00040
EN - Inglês,Sequence,MED00039
EN - Inglês,It was not possible to get the receipt %1 record.,MED00038
EN - Inglês,"Invalid quantity (%1) for line %2, delivery %3, Purchase Order %4.",MED00037
EN - Inglês,"Error when reading the line %1, delivery %2 of the Purchase Order %3.",MED00036
EN - Inglês,Invalid delivery time (%1 days) for the  delivery %2 of the Purchase Order %3.,MED00035
EN - Inglês,There are no lines for the delivery %1 of the Purchase Order %2.,MED00034
EN - Inglês,There was an error when reading the delivery %1 from the Purchase Order %2.,MED00033
EN - Inglês,The Purchase Order quantity (%1) is different from the quantity of the delivery (%2).,MED00032
EN - Inglês,There was an error when reading the line %1 of the Purchase Order %2.,MED00031
EN - Inglês,No deliveries set for the Purchase Order %1.,MED00030
EN - Inglês,There was an error when reading the Purchase Order number %1.,MED00029
EN - Inglês,Purchase Order number not informed.,MED00028
EN - Inglês,The deliveries for the Purchase Order line %1 were successfully copied.,MED00027
EN - Inglês,It was not possible to copy the deliveries. Message: %1.,MED00026
EN - Inglês,The Delivery was created.,MED00025
EN - Inglês,The Delivery Line was created.,MED00024
EN - Inglês,It was not possible to copy the deliveries because of an error when saving the Purchase Order delivery header. Message: %1.,MED00023
EN - Inglês,It was not possible to copy the deliveries because there was an error when saving the Purchase Order delivery header. Message: %1.,MED00022
EN - Inglês,It was not possible to copy the deliveries because of an error when saving the Purchase Order delivery header. Message:,MED00021
EN - Inglês,It was not possible to copy the deliveries because there are no deliveries for the Purchase Requisition line attended to by the current Purchase Order line.,MED00020
EN - Inglês,It was not possible to copy the deliveries because there is no delivery for the Purchase Requisition line attended to by the current Purchase Order line.,MED00019
EN - Inglês,It was not possible to copy the deliveries because there is no delivery for the Purchase Requisition line attended to by the current Purchase Order line.,MED00018
EN - Inglês,It was not possible the copy the deliveries because there is more than one delivery line for the same Purchase Requisition line attended to by the current Purchase Order line.,MED00017
EN - Inglês,It was not possible to copy the deliveries because there is not a Purchase Requisition line attended to by the current Purchase Order line.,MED00016
EN - Inglês,It was not possible to copy the deliveries because there is more than one Purchase Requisition line attended to by the current Purchase Order line.,MED00015
EN - Inglês,It is not possible to copy deliveries from the Purchase Requisition because this Purchase Order already has deliveries.,MED00014
EN - Inglês,Utility to copy deliveries from the Purchase Requisition to the Purchase Order.<BR>Purchase Order:,MED00013
EN - Inglês,Message:,MED00012
EN - Inglês,Purchase Order Line:,MED00011
EN - Inglês,Lines with errors:,MED00010
EN - Inglês,Copied lines:,MED00009
EN - Inglês,There is another delivery (Number %1) in the same %2 day term.,MED00008
EN - Inglês,An error happened when trying to set the delivery of %1 for the item %2.,MED00007
EN - Inglês,It was not possible to create the transfer receipt.,MED00006
EN - Inglês,The Percentage Field has an invalid value. The value must be between 1 and 100.,MED00005
EN - Inglês,"To edit deliveries, leave the "Standard Delivery" field empty in the Purchase Order.",MED00004
EN - Inglês,It isn't possible to edit the deliveries. A Standard Delivery was set in the Purchase Order.,MED00003
EN - Inglês,Location %1 not recorded on the WWW0121 table.,MED00002
EN - Inglês,cvcvvc,MED00001
